CodeJ;_2020;_2019;_2018;_2017;_2016;_2015;_2014;_2013;_2012;_2011;_2010
Z11;;;;;;46.8;51.6;44.1;41;45.2;46.8
Z14;32;35.9;35.7;39.2;39.7;;;;;;
ZL1;21.9;25.1;27.3;;;;;;;;
ZL2;24.3;27.8;27.8;;;;;;;;
ZL3;19.3;22.5;23.6;;;;;;;;
ZL4;19;22;22.2;;;;;;;;
ZL5;19.4;24.1;26.6;;;;;;;;
ZL6;18.6;23.3;24.3;;;;;;;;
ZL7;20.2;23.8;24.2;;;;;;;;
ZL8;20.3;24.9;26;;;;;;;;
H10;22.6;26.7;28.1;41.4;;;;;;;
H11;24.5;28.6;32;28.4;;;;;;;
H12;20.9;25.4;25.6;;;;;;;;
H13;20.6;24.4;26.6;;;;;;;;
HA1;20.5;25.5;27.1;;;;;;;;
HA2;17.9;23.2;26.3;;;;;;;;
HA3;;;22.5;;;;;;;;
HA4;21.5;26.7;28.9;;;;;;;;
HA5;26.9;32.3;36.9;;;;;;;;
HA6;20;23.3;26.1;;;;;;;;
HA7;;;26.8;;;;;;;;
HA8;18.1;23.4;24.9;;;;;;;;
HA9;21.8;26;26.7;;;;;;;;
HA10;20.4;24.2;27.1;;;;;;;;
HA11;21;24.8;25.9;;;;;;;;
HA12;20.8;25;25.7;;;;;;;;
HA13;19.9;23.9;25;;;;;;;;
HA14;22.5;26.4;28.6;;;;;;;;
HA15;21.2;24.6;28.2;;;;;;;;
HA16;;;26.8;;;;;;;;
HA17;14.6;17.4;19.9;;;;;;;;
H1;15.8;18.7;20.9;;;19.7;;;;;
H2;21;27.4;28.3;;;27.7;;;;;
H3;24.2;29.9;32.9;;;34.7;;;;;
H4;16.6;19.6;21.4;;;21.1;;;;;
H6;18.8;22.5;24.7;;;21.3;;;;;
H7;18.4;22.2;24.1;;;24.3;;;;;
H8;15.5;19;22.6;;;;;;;;
OZ1;26.6;28.4;34.3;;;;;;;;
OZ3;22.7;24.7;23.8;;;;;;;;
OZ2;24.7;28.4;25.2;;;;;;;;
HA18;27.4;32.3;36.9;;;;;;;;
HA19;23.1;28.6;31.5;;;;;;;;
HA20;17.3;20.1;;;;;;;;;
HA21;16.1;19.1;;;;;;;;;
HA22;21.5;25.8;;;;;;;;;
HA23;18.9;22.7;;;;;;;;;
HA24;26.2;29.7;;;;;;;;;
HA25;22.9;28;;;;;;;;;
HA26;18.2;21.3;;;;;;;;;
HA27;18.7;22.2;;;;;;;;;
HA28;16.1;19.4;;;;;;;;;
HA29;14.4;21.5;;;;;;;;;
HA30;15.6;19.6;;;;;;;;;
ZMP1;25.8;27.8;;;;;;;;;
ZMP2;24.2;28.4;;;;;;;;;
ZMP3;25.1;28.3;;;;;;;;;
ZMP4;24.6;27.9;;;;;;;;;
ZMP5;23.4;28.6;;;;;;;;;
LOK2;23.3;29;;;;;;;;;
LOK3;25.4;28.4;;;;;;;;;
LOK4;17.3;22.8;;;;;;;;;
LOK5;16.2;19.3;;;;;;;;;
LOK7;23.3;27.5;;;;;;;;;
LOK8;22.2;26.3;;;;;;;;;
LOK9;20.9;26.8;;;;;;;;;
LOK10;20.1;23.9;;;;;;;;;
LOK11;25.2;26.3;;;;;;;;;
LOK12;28.7;33.7;;;;;;;;;
LOK13;18.7;21.2;;;;;;;;;
LOK14;23.8;26;;;;;;;;;
LOK15;28.2;32.1;;;;;;;;;
L1;23;27.3;;;;;;;;;
L2;16.6;19;;;;;;;;;
L3;;18.2;;;;;;;;;
L4;;16.8;;;;;;;;;
L5;;16.1;;;;;;;;;
L6;22.8;;;;;;;;;;
L7;15.2;;;;;;;;;;
L8;13.9;;;;;;;;;;
P1;17.7;25.2;;;;;;;;;
P2;25.7;29.6;;;;;;;;;
P3;19.9;26.2;;;;;;;;;
P4;17.2;25.1;;;;;;;;;
P5;15.5;20.9;;;;;;;;;
P6;17.7;23.4;;;;;;;;;
P7;19.5;26.1;;;;;;;;;
P8;17.4;18.2;;;;;;;;;
P9;18.8;21.2;;;;;;;;;
P10;21.6;25.4;;;;;;;;;
HST1;18.2;;;;;;;;;;
HST2;20.5;;;;;;;;;;
HST3;17.6;;;;;;;;;;
HST4;16;;;;;;;;;;
HST5;21;;;;;;;;;;
KAT306G;19;;;;;;;;;;
KAT306P;21.4;;;;;;;;;;
MAR;19.1;;;;;;;;;;
T9;16.9;21.1;;;;;;;;;
T10;18.1;22.9;;;;;;;;;
OK1;20.5;26.2;30.3;;;;;;;;
OK25;17.2;21.8;;;;;;;;;
BL1;14.5;;;;;;;;;;
BL2;17.9;;;;;;;;;;
BL3;13.8;;;;;;;;;;
BL4;19.8;;;;;;;;;;
BL5;14.7;;;;;;;;;;
BL6;22.4;;;;;;;;;;
BL7;17.8;;;;;;;;;;
HA35;15.5;;;;;;;;;;
HA36;28.7;;;;;;;;;;
A10 ZUID ;35.8;45.9;43.3;56.2;;;;;;;
2;30.9;37.3;40.3;48.4;48.6;49;55.8;52.5;59.1;62.5;58.6
3;16.7;19.6;21.5;24;23.9;22;22;21.2;25.3;26.3;26.6
7;33.8;41;45.1;43.9;48.2;45.7;51.5;53;55;55.4;58.1
12;26.9;36.5;35.6;35.4;36.7;36.5;38.1;37;41.5;43.2;44.8
14;17.1;21.9;23.2;25.2;25.1;24.5;23.4;26.2;27.5;28.1;31.3
17;24.5;31.6;33.8;35.2;36.2;37.2;37.5;39.7;41;43;45
19;19.9;25.3;28.1;29.5;30;29.2;30;29.5;31;32;34
20;28.1;36.9;40.6;43.5;41.4;42.9;45.5;44.3;48;48;50
21;15.1;18.7;20;22.5;22;21.2;22;20.4;23;24;25
22;15.3;18.8;20.9;21.6;21.9;21.2;23;21.9;24;24;25
701;18.2;21.3;21.5;22.3;23.5;21.7;24.1;22.9;26;25;25
703;15.2;18.8;20.3;19.8;20.4;19.3;20.8;20.5;21.4;22;24
553;17.3;19.5;20.7;19.2;20.3;19.5;21.5;19.5;22.2;23;22
551;20.9;24.3;27.3;26.6;27.5;24.6;26.7;27;28.8;30;32
704;21.4;25.4;25.5;26.4;27.4;24.5;26.3;22.9;25.6;27;28
546;25.1;28.4;28.6;30.4;29.8;29.8;29.3;28.5;32.8;;
564;15.4;21.2;22.7;23.1;23.4;22.2;23.6;23.6;23.7;25;27
561;20.1;25.8;26.9;30.5;29.5;29;30.8;30;31.8;33;34
565;17.1;22.2;23.4;23.5;24.7;23.6;24.7;25;26.6;28;
LAR1;23.9;;;;;;;;;;
LAR2;19.2;;;;;;;;;;
LAR3;17.5;;;;;;;;;;
AS1;21.4;;;;;;;;;;
AS2;26.9;;;;;;;;;;
